primary_tag,entry_month,time_index,post_chatgpt,exposure_index,high_tag,n_eligible_entrants,established_one_shot_share_365d,established_repeat_share_365d,established_total_share_365d,high_post,exposure_post
docker,2021-11,23,0,-2.067518990036933,0,556,0.6294964028776978,0.11870503597122302,0.7482014388489209,0,-0.0
docker,2021-12,24,0,-2.067518990036933,0,601,0.6239600665557404,0.1314475873544093,0.7554076539101497,0,-0.0
docker,2022-01,25,0,-2.067518990036933,0,645,0.6961240310077519,0.08682170542635659,0.7829457364341085,0,-0.0
docker,2022-02,26,0,-2.067518990036933,0,593,0.6340640809443507,0.1163575042158516,0.7504215851602024,0,-0.0
docker,2022-03,27,0,-2.067518990036933,0,591,0.6311336717428088,0.11336717428087986,0.7445008460236887,0,-0.0
docker,2022-04,28,0,-2.067518990036933,0,605,0.6495867768595042,0.0859504132231405,0.7355371900826446,0,-0.0
docker,2022-05,29,0,-2.067518990036933,0,631,0.6465927099841522,0.08557844690966719,0.7321711568938193,0,-0.0
docker,2022-06,30,0,-2.067518990036933,0,662,0.6329305135951662,0.09667673716012085,0.729607250755287,0,-0.0
docker,2022-07,31,0,-2.067518990036933,0,630,0.6333333333333333,0.12222222222222222,0.7555555555555555,0,-0.0
docker,2022-08,32,0,-2.067518990036933,0,685,0.6291970802919709,0.10218978102189781,0.7313868613138687,0,-0.0
docker,2022-09,33,0,-2.067518990036933,0,711,0.6427566807313643,0.090014064697609,0.7327707454289732,0,-0.0
docker,2022-10,34,0,-2.067518990036933,0,639,0.6353677621283255,0.08294209702660407,0.7183098591549296,0,-0.0
docker,2022-11,35,0,-2.067518990036933,0,638,0.664576802507837,0.08463949843260188,0.7492163009404389,0,-0.0
docker,2022-11,35,1,-2.067518990036933,0,23,0.6086956521739131,0.043478260869565216,0.6521739130434783,0,-2.067518990036933
docker,2022-12,36,1,-2.067518990036933,0,584,0.6797945205479452,0.0821917808219178,0.761986301369863,0,-2.067518990036933
