user_id,event_month,direct_ai_events,ask_events,answer_events,question_comment_events,answer_comment_events,distinct_questions,distinct_answers,distinct_tools,high_tag_event_share,mean_exposure_index,first_direct_ai_month,event_month_index,first_direct_ai_month_index,months_since_first_direct_ai,cumulative_direct_ai_events,repeat_direct_ai_month
1312051.0,2024-10,1,0,0,1,0,1,0,0,0.0,-0.5824723369899437,2024-10,657,657,0,1,0
1314159.0,2023-10,1,1,0,0,0,1,0,1,1.0,0.3704293899547944,2023-10,645,645,0,1,0
1322168.0,2022-12,1,0,0,0,1,1,1,1,1.0,0.3704293899547944,2022-12,635,635,0,1,0
1335473.0,2023-04,1,1,0,0,0,1,0,1,1.0,0.3704293899547944,2023-04,639,639,0,1,0
1337906.0,2024-04,1,0,0,0,1,1,1,1,1.0,0.484762784788476,2024-04,651,651,0,1,0
1353914.0,2023-07,1,1,0,0,0,1,0,1,0.0,-2.067518990036933,2023-07,642,642,0,1,0
1362755.0,2023-07,1,0,0,1,0,1,0,1,1.0,0.3704293899547944,2023-07,642,642,0,1,0
1363098.0,2023-02,1,1,0,0,0,1,0,1,1.0,0.484762784788476,2023-02,637,637,0,1,0
1371131.0,2025-03,1,0,0,1,0,1,0,1,0.0,-0.3486118221209918,2025-03,662,662,0,1,0
1376472.0,2025-03,1,1,0,0,0,1,0,1,0.0,-0.3486118221209918,2025-03,662,662,0,1,0
1383685.0,2024-06,1,1,0,0,0,1,0,1,1.0,0.3704293899547944,2024-06,653,653,0,1,0
1384210.0,2025-04,1,1,0,0,0,1,0,1,0.0,-2.067518990036933,2025-04,663,663,0,1,0
1385107.0,2023-09,1,1,0,0,0,1,0,1,1.0,0.3704293899547944,2023-09,644,644,0,1,0
1401472.0,2023-10,1,1,0,0,0,1,0,1,1.0,0.3704293899547944,2023-10,645,645,0,1,0
1405352.0,2025-04,1,1,0,0,0,1,0,0,1.0,0.3704293899547944,2025-04,663,663,0,1,0
1453312.0,2024-08,1,0,1,0,0,1,1,1,1.0,0.3704293899547944,2024-08,655,655,0,1,0
1461972.0,2025-02,1,1,0,0,0,1,0,1,1.0,0.484762784788476,2025-02,661,661,0,1,0
1467914.0,2023-05,1,0,0,1,0,1,0,1,1.0,0.5121987286806099,2023-05,640,640,0,1,0
1472266.0,2024-10,1,1,0,0,0,1,0,1,1.0,0.484762784788476,2024-10,657,657,0,1,0
1487072.0,2024-05,1,0,1,0,0,1,1,1,1.0,0.3704293899547944,2024-05,652,652,0,1,0
1491089.0,2023-08,1,0,1,0,0,1,1,1,1.0,0.3704293899547944,2023-08,643,643,0,1,0
1492229.0,2024-11,1,1,0,0,0,1,0,0,1.0,0.484762784788476,2024-11,658,658,0,1,0
1497139.0,2024-07,1,0,0,0,1,1,1,1,1.0,0.3704293899547944,2024-07,654,654,0,1,0
1514861.0,2023-10,1,0,1,0,0,1,1,1,0.0,-0.8269317640104322,2023-10,645,645,0,1,0
1519468.0,2023-03,1,1,0,0,0,1,0,1,1.0,0.3704293899547944,2023-03,638,638,0,1,0
1521999.0,2024-05,1,1,0,0,0,1,0,1,1.0,0.3704293899547944,2024-05,652,652,0,1,0
1526823.0,2023-06,3,1,0,2,0,1,0,1,1.0,0.48476278478847606,2023-06,641,641,0,3,0
1530836.0,2024-01,1,0,0,0,1,1,1,1,1.0,0.8127371844006236,2024-01,648,648,0,1,0
1539674.0,2024-06,1,0,0,1,0,1,0,1,1.0,0.3704293899547944,2024-06,653,653,0,1,0
1544039.0,2023-05,1,1,0,0,0,1,0,1,1.0,0.4267372425853595,2023-05,640,640,0,1,0
1558194.0,2024-07,1,1,0,0,0,1,0,1,0.0,-0.8269317640104322,2024-07,654,654,0,1,0
1582304.0,2023-05,1,1,0,0,0,1,0,1,0.0,-2.067518990036933,2023-05,640,640,0,1,0
1595451.0,2022-12,2,0,0,2,0,2,0,1,1.0,0.484762784788476,2022-12,635,635,0,2,0
1595451.0,2023-02,1,0,0,1,0,1,0,1,1.0,0.8127371844006236,2022-12,637,635,2,3,1
1601580.0,2023-11,1,0,1,0,0,1,1,1,1.0,0.3704293899547944,2023-11,646,646,0,1,0
1601580.0,2024-08,1,1,0,0,0,1,0,1,1.0,0.3704293899547944,2023-11,655,646,9,2,1
1639594.0,2023-10,1,1,0,0,0,1,0,1,1.0,0.484762784788476,2023-10,645,645,0,1,0
1644280.0,2025-10,2,2,0,0,0,1,0,2,1.0,0.3704293899547944,2025-10,669,669,0,2,0
1650337.0,2023-01,1,0,0,1,0,1,0,1,1.0,0.484762784788476,2023-01,636,636,0,1,0
1672528.0,2022-08,1,1,0,0,0,1,0,1,1.0,0.484762784788476,2022-08,631,631,0,1,0
1682419.0,2025-07,1,0,1,0,0,1,1,1,0.0,-0.5824723369899437,2025-07,666,666,0,1,0
1691609.0,2023-06,1,1,0,0,0,1,0,1,1.0,0.484762784788476,2023-06,641,641,0,1,0
1703708.0,2023-06,1,0,0,1,0,1,0,1,1.0,0.3704293899547944,2023-06,641,641,0,1,0
1708977.0,2025-10,2,1,1,0,0,1,1,2,1.0,0.3704293899547944,2025-10,669,669,0,2,0
1709440.0,2023-07,1,1,0,0,0,1,0,1,1.0,0.3704293899547944,2023-07,642,642,0,1,0
