specification,outcome,break_month,coef_level,pval_level,coef_slope,pval_slope,directional_coef
role_top_score_recent90,recent_entrant_90d_share,2020-11,0.030331102245847816,0.3014689758387067,0.011751062497405896,0.007258377446575834,0.011751062497405896
role_top_score_recent90,recent_entrant_90d_share,2020-12,0.03682627546729295,0.1727247180147392,0.010919950766249823,0.001852156344107458,0.010919950766249823
role_top_score_recent90,recent_entrant_90d_share,2021-01,0.037167541019817084,0.1867741156132393,0.009673629815136876,0.0014580593372364604,0.009673629815136876
role_top_score_recent90,recent_entrant_90d_share,2021-02,0.039415985712201104,0.12462430199335636,0.008737422028385594,0.00017478959695195055,0.008737422028385594
role_top_score_recent90,recent_entrant_90d_share,2021-03,0.04480030036775874,0.03847188603474416,0.008119945862626453,1.8139560369183564e-06,0.008119945862626453
role_top_score_recent90,recent_entrant_90d_share,2021-04,0.04289735073387616,0.009839706802685894,0.007083809038622725,1.9267691424280467e-09,0.007083809038622725
role_top_score_recent90,recent_entrant_90d_share,2021-05,0.04672871590662443,0.0014274760862364006,0.006512502408752508,2.1051416803980827e-11,0.006512502408752508
role_top_score_recent90,recent_entrant_90d_share,2021-06,0.052718059181187917,0.0006969579426787008,0.006045367546239856,1.3159824889362683e-12,0.006045367546239856
role_top_score_recent90,recent_entrant_90d_share,2021-07,0.05737990089408343,0.0005368546805205324,0.005528325212211827,2.6473741971952213e-14,0.005528325212211827
role_top_score_recent90,recent_entrant_90d_share,2021-08,0.05256567372716363,0.0007376956120421254,0.004728429326036285,8.611407440185669e-14,0.004728429326036285
role_top_score_recent90,recent_entrant_90d_share,2021-09,0.04852793740079485,0.000839430869274568,0.004066065497368357,2.453095578224614e-12,0.004066065497368357
role_top_score_recent90,recent_entrant_90d_share,2021-10,0.046031184050156604,0.0010102669802079134,0.0035428183995765768,9.388722184479782e-11,0.0035428183995765768
role_top_score_recent90,recent_entrant_90d_share,2021-11,0.04314748361110383,0.0005493877176378384,0.0030774873040883342,8.217543869547582e-08,0.0030774873040883342
